Country,Variable,Value
Honduras,TotalRecovered,
Qatar,TotalRecovered,443418
Armenia,TotalRecovered,430192
Bosnia and Herzegovina,TotalRecovered,376654
Oman,TotalRecovered,384669
Macedonia [FYROM],TotalRecovered,332806
Kenya,TotalRecovered,332663
Zambia,TotalRecovered,329375
Albania,TotalRecovered,326729
Botswana,TotalRecovered,322955
Luxembourg,TotalRecovered,283668
Montenegro,TotalRecovered,276154
Algeria,TotalRecovered,182306
Nigeria,TotalRecovered,258381
Zimbabwe,TotalRecovered,251281
China,TotalRecovered,242254
Uzbekistan,TotalRecovered,241486
Mozambique,TotalRecovered,227882
Brunei,TotalRecovered,222140
Martinique,TotalRecovered,
Laos,TotalRecovered,
Kyrgyzstan,TotalRecovered,196406
Iceland,TotalRecovered,
El Salvador,TotalRecovered,179410
Afghanistan,TotalRecovered,177850
Guadeloupe,TotalRecovered,
Maldives,TotalRecovered,163687
Trinidad and Tobago,TotalRecovered,174214
Uganda,TotalRecovered,100431
Namibia,TotalRecovered,164813
Ghana,TotalRecovered,167307
Jamaica,TotalRecovered,99239
Cambodia,TotalRecovered,134745
Rwanda,TotalRecovered,130955
Cameroon,TotalRecovered,118616
Malta,TotalRecovered,113195
Angola,TotalRecovered,101155
Barbados,TotalRecovered,101760
French Guiana,TotalRecovered,11254
Dem. Rep. Congo,TotalRecovered,83504
Senegal,TotalRecovered,86297
Malawi,TotalRecovered,84872
Côte d'Ivoire,TotalRecovered,86338
Suriname,TotalRecovered,
French Polynesia,TotalRecovered,
New Caledonia,TotalRecovered,73823
Swaziland,TotalRecovered,71955
Guyana,TotalRecovered,69977
Belize,TotalRecovered,68079
Fiji,TotalRecovered,66302
Madagascar,TotalRecovered,65242
Sudan,TotalRecovered,57290
Mauritania,TotalRecovered,61789
Cape Verde,TotalRecovered,61890
Bhutan,TotalRecovered,61564
Syria,TotalRecovered,54078
Burundi,TotalRecovered,49559
Gabon,TotalRecovered,48292
Seychelles,TotalRecovered,46446
Andorra,TotalRecovered,46011
Papua New Guinea,TotalRecovered,43982
Aruba,TotalRecovered,42438
Mauritius,TotalRecovered,38786
Mayotte,TotalRecovered,
Tanzania,TotalRecovered,
Togo,TotalRecovered,38528
Isle of Man,TotalRecovered,
Guinea,TotalRecovered,36880
Bahamas,TotalRecovered,36070
Faroe Islands,TotalRecovered,
Lesotho,TotalRecovered,25980
Haiti,TotalRecovered,31307
Mali,TotalRecovered,31591
Cayman Islands,TotalRecovered,8553
Saint Lucia,TotalRecovered,28475
Benin,TotalRecovered,27322
Somalia,TotalRecovered,13182
Congo,TotalRecovered,24006
Timor-Leste,TotalRecovered,23102
Burkina Faso,TotalRecovered,21143
Solomon Islands,TotalRecovered,16357
San Marino,TotalRecovered,20524
Gibraltar,TotalRecovered,16579
Liechtenstein,TotalRecovered,19403
Grenada,TotalRecovered,19248
Nicaragua,TotalRecovered,4225
Bermuda,TotalRecovered,17969
S. Sudan,TotalRecovered,17335
Tajikistan,TotalRecovered,17264
Equatorial Guinea,TotalRecovered,16690
Tonga,TotalRecovered,15638
Samoa,TotalRecovered,1605
Dominica,TotalRecovered,15651
Djibouti,TotalRecovered,15427
Marshall Islands,TotalRecovered,15166
Central African Rep.,TotalRecovered,14520
Monaco,TotalRecovered,14478
Gambia,TotalRecovered,12028
Greenland,TotalRecovered,2761
Yemen,TotalRecovered,9124
Vanuatu,TotalRecovered,11894
Eritrea,TotalRecovered,10063
Niger,TotalRecovered,8890
Micronesia,TotalRecovered,157
Antigua and Barbuda,TotalRecovered,8923
Guinea-Bissau,TotalRecovered,8301
Comoros,TotalRecovered,8305
Liberia,TotalRecovered,7636
Sierra Leone,TotalRecovered,
Chad,TotalRecovered,4874
British Virgin Islands,TotalRecovered,
Saint Kitts and Nevis,TotalRecovered,6482
Cook Islands,TotalRecovered,6384
Palau,TotalRecovered,5444
Nauru,TotalRecovered,4605
Anguilla,TotalRecovered,3848
Kiribati,TotalRecovered,2703
Saint Pierre and Miquelon,TotalRecovered,2449
Falkland Islands [Islas Malvinas],TotalRecovered,1886
Montserrat,TotalRecovered,1353
Saint Helena,TotalRecovered,2
Wallis and Futuna,TotalRecovered,438
Niue,TotalRecovered,80
Vatican City,TotalRecovered,29
Tuvalu,TotalRecovered,
Western Sahara,TotalRecovered,9
