,name,value,,,
243,TotCases.1Mpop,64260,,,
244,TotRecovered.1Mpop,62574,,,
245,TotCases.1Mpop,5220,,,
246,TotRecovered.1Mpop,5165,,,
247,TotCases.1Mpop,50862,,,
248,TotRecovered.1Mpop,33245,,,
249,TotCases.1Mpop,8030,,,
250,TotRecovered.1Mpop,7848,,,
251,TotCases.1Mpop,9742,,,
252,TotRecovered.1Mpop,9629,,,
253,TotCases.1Mpop,4358,,,
254,TotRecovered.1Mpop,4250,,,
255,TotCases.1Mpop,258206,,,
256,TotRecovered.1Mpop,254925,,,
257,TotCases.1Mpop,2944,,,
258,TotRecovered.1Mpop,2888,,,
259,TotCases.1Mpop,356034,,,
260,TotRecovered.1Mpop,353305,,,
261,TotCases.1Mpop,299119,,,
262,TotRecovered.1Mpop,35821,,,
263,TotCases.1Mpop,975,,,
264,TotRecovered.1Mpop,877,,,
265,TotCases.1Mpop,5006,,,
266,TotRecovered.1Mpop,4888,,,
267,TotCases.1Mpop,4362,,,
268,TotRecovered.1Mpop,4206,,,
269,TotCases.1Mpop,3144,,,
270,TotRecovered.1Mpop,3112,,,
271,TotCases.1Mpop,135894,,,
272,TotRecovered.1Mpop,0,,,
273,TotCases.1Mpop,269559,,,
274,TotRecovered.1Mpop,0,,,
275,TotCases.1Mpop,254892,,,
276,TotRecovered.1Mpop,253761,,,
277,TotCases.1Mpop,61942,,,
278,TotRecovered.1Mpop,60731,,,
279,TotCases.1Mpop,89839,,,
280,TotRecovered.1Mpop,88127,,,
281,TotCases.1Mpop,166976,,,
282,TotRecovered.1Mpop,165164,,,
283,TotCases.1Mpop,75035,,,
284,TotRecovered.1Mpop,72902,,,
285,TotCases.1Mpop,2285,,,
286,TotRecovered.1Mpop,2236,,,
287,TotCases.1Mpop,1376,,,
288,TotRecovered.1Mpop,1246,,,
289,TotCases.1Mpop,12814,,,
290,TotRecovered.1Mpop,12605,,,
291,TotCases.1Mpop,109870,,,
292,TotRecovered.1Mpop,109023,,,
293,TotCases.1Mpop,78343,,,
294,TotRecovered.1Mpop,78133,,,
295,TotCases.1Mpop,2959,,,
296,TotRecovered.1Mpop,2793,,,
297,TotCases.1Mpop,3971,,,
298,TotRecovered.1Mpop,3926,,,
299,TotCases.1Mpop,20884,,,97767
300,TotRecovered.1Mpop,20713,,,
301,TotCases.1Mpop,474132,,,
302,TotRecovered.1Mpop,467141,,,
303,TotCases.1Mpop,596762,,,
304,TotRecovered.1Mpop,593974,,,
305,TotCases.1Mpop,4842,,,
306,TotRecovered.1Mpop,4733,,,
307,TotCases.1Mpop,398796,,,
308,TotRecovered.1Mpop,394372,,,
309,TotCases.1Mpop,31741,,,
310,TotRecovered.1Mpop,30427,,,
311,TotCases.1Mpop,140582,,,
312,TotRecovered.1Mpop,0,,,
313,TotCases.1Mpop,623,,,
314,TotRecovered.1Mpop,0,,,
315,TotCases.1Mpop,4497,,,
316,TotRecovered.1Mpop,4438,,,
317,TotCases.1Mpop,443335,,,
318,TotRecovered.1Mpop,0,,,
319,TotCases.1Mpop,2715,,,
320,TotRecovered.1Mpop,2660,,,
321,TotCases.1Mpop,93047,,,
322,TotRecovered.1Mpop,90059,,,
323,TotCases.1Mpop,703959,,,
324,TotRecovered.1Mpop,0,,,
325,TotCases.1Mpop,15852,,,
326,TotRecovered.1Mpop,11941,,,
327,TotCases.1Mpop,2888,,,
328,TotRecovered.1Mpop,2680,,,
